Epoch,Loss,MRR,Hit@1,Hit@10,Hit@30,Hit@50,Hit@100
115,0.2698,0.1889,0.0737,0.4163,0.6800,0.8287,0.9775
116,0.2964,0.1881,0.0762,0.4313,0.6825,0.8350,0.9738
117,0.1991,0.1882,0.0762,0.4188,0.6787,0.8263,0.9738
118,0.1993,0.1906,0.0737,0.4250,0.6875,0.8263,0.9775
119,0.2453,0.1886,0.0750,0.4125,0.6750,0.8250,0.9725
120,0.2516,0.1886,0.0775,0.4150,0.6825,0.8263,0.9712
121,0.1544,0.1874,0.0762,0.4188,0.6763,0.8325,0.9750
122,0.1828,0.1884,0.0750,0.4188,0.6800,0.8225,0.9738
123,0.1468,0.1918,0.0813,0.4200,0.6813,0.8213,0.9738
124,0.1466,0.1894,0.0788,0.4300,0.6875,0.8313,0.9738
125,0.2001,0.1892,0.0762,0.4175,0.6825,0.8237,0.9738
126,0.1267,0.1850,0.0737,0.4037,0.6787,0.8200,0.9725
127,0.0913,0.1893,0.0775,0.4213,0.6825,0.8237,0.9788
128,0.1260,0.1881,0.0750,0.4263,0.6875,0.8337,0.9762
129,0.1929,0.1846,0.0688,0.4163,0.6887,0.8200,0.9750
130,0.2581,0.1827,0.0700,0.4288,0.6800,0.8200,0.9750
131,0.2056,0.1858,0.0750,0.4062,0.6813,0.8150,0.9625
132,0.1368,0.1873,0.0775,0.4150,0.6763,0.8187,0.9700
133,0.1943,0.1892,0.0775,0.4238,0.6813,0.8237,0.9750
134,0.1277,0.1823,0.0725,0.4088,0.6787,0.8175,0.9725
135,0.1236,0.1862,0.0737,0.4200,0.6775,0.8187,0.9725
136,0.1374,0.1859,0.0750,0.4200,0.6900,0.8200,0.9725
137,0.1402,0.1790,0.0675,0.4175,0.6887,0.8163,0.9725
138,0.1326,0.1786,0.0700,0.4125,0.6863,0.8150,0.9762
139,0.1061,0.1812,0.0700,0.4213,0.6937,0.8187,0.9738
140,0.1411,0.1832,0.0700,0.4213,0.6863,0.8175,0.9725
141,0.2322,0.1899,0.0775,0.4338,0.6875,0.8250,0.9750
142,0.2124,0.1873,0.0725,0.4275,0.6937,0.8375,0.9762
143,0.1716,0.1793,0.0675,0.4088,0.6837,0.8087,0.9712
144,0.2044,0.1837,0.0712,0.4213,0.6787,0.8250,0.9750
145,0.2307,0.1793,0.0712,0.4225,0.6887,0.8200,0.9775
146,0.1224,0.1874,0.0762,0.4275,0.6850,0.8125,0.9762
147,0.1323,0.1781,0.0712,0.4050,0.6775,0.8150,0.9700
148,0.1442,0.1779,0.0700,0.4075,0.6725,0.8075,0.9725
149,0.1494,0.1762,0.0675,0.4050,0.6737,0.8100,0.9688
150,0.1488,0.1773,0.0688,0.4175,0.6875,0.8237,0.9750
151,0.2695,0.1726,0.0650,0.4037,0.6725,0.8050,0.9663
152,0.1087,0.1775,0.0663,0.4200,0.6825,0.8250,0.9738
153,0.1499,0.1789,0.0688,0.4050,0.6800,0.8187,0.9663
154,0.1525,0.1758,0.0663,0.4075,0.6750,0.8163,0.9700
155,0.1700,0.1788,0.0700,0.4150,0.6713,0.8163,0.9750
156,0.1068,0.1779,0.0688,0.4200,0.6787,0.8125,0.9700
157,0.0884,0.1742,0.0663,0.3912,0.6650,0.8025,0.9688
158,0.1745,0.1781,0.0737,0.4012,0.6700,0.8087,0.9663
159,0.1258,0.1743,0.0663,0.4062,0.6775,0.8175,0.9762
160,0.1217,0.1755,0.0700,0.4062,0.6737,0.8075,0.9688
161,0.1777,0.1731,0.0650,0.4062,0.6763,0.8087,0.9712
162,0.1581,0.1767,0.0700,0.3975,0.6850,0.8125,0.9675
163,0.0888,0.1719,0.0638,0.3987,0.6725,0.8013,0.9613
164,0.1707,0.1747,0.0663,0.3987,0.6700,0.8100,0.9650
165,0.0970,0.1736,0.0663,0.3937,0.6700,0.8137,0.9688
166,0.0798,0.1724,0.0625,0.4037,0.6737,0.8187,0.9700
167,0.1390,0.1734,0.0663,0.3975,0.6737,0.8100,0.9700
168,0.2772,0.1728,0.0650,0.4037,0.6737,0.8087,0.9587
169,0.1676,0.1720,0.0663,0.4025,0.6663,0.7950,0.9613
170,0.1649,0.1741,0.0663,0.3987,0.6725,0.8075,0.9700
171,0.1708,0.1760,0.0688,0.4012,0.6737,0.8113,0.9650
172,0.1731,0.1722,0.0638,0.4037,0.6663,0.8013,0.9688
173,0.1376,0.1720,0.0625,0.3975,0.6775,0.8063,0.9663
174,0.1577,0.1753,0.0650,0.4000,0.6725,0.8000,0.9675
175,0.2687,0.1731,0.0688,0.3975,0.6637,0.7975,0.9563
176,0.0710,0.1690,0.0625,0.4062,0.6687,0.8087,0.9675
177,0.3012,0.1726,0.0675,0.4000,0.6587,0.7987,0.9625
178,0.1564,0.1711,0.0625,0.4000,0.6675,0.7975,0.9600
179,0.2732,0.1746,0.0688,0.4050,0.6675,0.8050,0.9625
180,0.0923,0.1743,0.0638,0.3975,0.6737,0.8113,0.9625
181,0.2375,0.1748,0.0675,0.4000,0.6800,0.7975,0.9600
