Epoch,Loss,MRR,Hit@1,Hit@10,Hit@30,Hit@50,Hit@100
129,0.1698,0.1857,0.0775,0.4088,0.6687,0.8263,0.9625
130,0.2159,0.1885,0.0762,0.4100,0.6737,0.8250,0.9675
131,0.1009,0.1873,0.0775,0.4012,0.6763,0.8313,0.9675
132,0.1935,0.1873,0.0775,0.4012,0.6737,0.8300,0.9600
133,0.0994,0.1847,0.0737,0.4037,0.6800,0.8325,0.9675
134,0.1132,0.1859,0.0775,0.3987,0.6725,0.8263,0.9650
135,0.1664,0.1849,0.0725,0.3975,0.6763,0.8287,0.9637
136,0.2195,0.1867,0.0737,0.4213,0.6975,0.8350,0.9712
137,0.1927,0.1863,0.0750,0.3987,0.6900,0.8375,0.9663
138,0.1034,0.1886,0.0813,0.4088,0.6800,0.8413,0.9688
139,0.1319,0.1839,0.0725,0.4113,0.6837,0.8337,0.9700
140,0.1286,0.1900,0.0838,0.4100,0.6887,0.8313,0.9663
141,0.2278,0.1921,0.0813,0.4263,0.6900,0.8313,0.9750
142,0.1479,0.1906,0.0825,0.4163,0.6900,0.8313,0.9738
143,0.2024,0.1877,0.0775,0.4025,0.6763,0.8337,0.9675
144,0.1585,0.1861,0.0750,0.4200,0.6813,0.8337,0.9700
145,0.2981,0.1826,0.0725,0.4163,0.6937,0.8337,0.9725
146,0.2278,0.1839,0.0750,0.4113,0.6887,0.8387,0.9750
147,0.1333,0.1934,0.0887,0.4150,0.6813,0.8325,0.9688
148,0.1700,0.1854,0.0762,0.4088,0.6750,0.8287,0.9650
149,0.0746,0.1889,0.0813,0.4088,0.6813,0.8300,0.9675
150,0.1966,0.1888,0.0813,0.4088,0.6875,0.8350,0.9712
151,0.1369,0.1867,0.0775,0.4025,0.6825,0.8313,0.9688
152,0.3034,0.1854,0.0788,0.4075,0.6913,0.8363,0.9650
153,0.1439,0.1924,0.0875,0.3975,0.6750,0.8263,0.9625
154,0.2612,0.1892,0.0850,0.3950,0.6775,0.8313,0.9575
155,0.1685,0.1874,0.0825,0.3950,0.6787,0.8350,0.9700
156,0.1735,0.1887,0.0825,0.3937,0.6787,0.8275,0.9688
157,0.1214,0.1897,0.0875,0.3850,0.6775,0.8213,0.9637
158,0.2180,0.1878,0.0850,0.3787,0.6725,0.8263,0.9637
159,0.1356,0.1862,0.0800,0.4012,0.6787,0.8263,0.9663
160,0.1403,0.1888,0.0813,0.3975,0.6763,0.8263,0.9637
161,0.1377,0.1928,0.0912,0.3950,0.6763,0.8300,0.9637
162,0.2550,0.1872,0.0850,0.3925,0.6800,0.8250,0.9600
163,0.1499,0.1937,0.0975,0.3925,0.6737,0.8200,0.9600
164,0.1244,0.1900,0.0850,0.3987,0.6787,0.8337,0.9675
165,0.1455,0.1901,0.0900,0.3937,0.6863,0.8237,0.9613
166,0.0899,0.1884,0.0838,0.4075,0.6863,0.8300,0.9637
167,0.3122,0.1788,0.0788,0.3900,0.6787,0.8225,0.9613
168,0.2363,0.1854,0.0800,0.4062,0.6813,0.8237,0.9637
169,0.2030,0.1860,0.0875,0.3925,0.6737,0.8213,0.9650
170,0.1881,0.1910,0.0938,0.3862,0.6725,0.8213,0.9600
171,0.1068,0.1874,0.0850,0.3925,0.6725,0.8275,0.9637
172,0.2371,0.1929,0.0938,0.3862,0.6725,0.8250,0.9600
173,0.1647,0.1885,0.0838,0.3962,0.6687,0.8287,0.9625
174,0.1961,0.1910,0.0925,0.3987,0.6775,0.8163,0.9600
175,0.2619,0.1875,0.0813,0.4025,0.6750,0.8337,0.9613
176,0.1042,0.1898,0.0850,0.3987,0.6700,0.8213,0.9587
177,0.3329,0.1870,0.0862,0.3875,0.6675,0.8175,0.9575
178,0.1550,0.1875,0.0862,0.4000,0.6775,0.8213,0.9600
179,0.2275,0.1881,0.0887,0.3937,0.6763,0.8113,0.9563
180,0.1705,0.1912,0.0938,0.3937,0.6787,0.8137,0.9587
181,0.1432,0.1920,0.0875,0.3937,0.6863,0.8300,0.9625
182,0.2055,0.1895,0.0862,0.4025,0.6850,0.8263,0.9613
