Epoch,Loss,MRR,Hit@1,Hit@10,Hit@30,Hit@50,Hit@100
112,0.1500,0.1528,0.0932,0.2813,0.3699,0.4118,0.4678
113,0.1568,0.1555,0.0932,0.2836,0.3745,0.4134,0.4662
114,0.1561,0.1527,0.0948,0.2774,0.3644,0.4056,0.4639
115,0.1600,0.1552,0.0956,0.2774,0.3691,0.4110,0.4623
116,0.1655,0.1544,0.0971,0.2774,0.3598,0.4071,0.4530
117,0.1537,0.1541,0.0963,0.2821,0.3691,0.4048,0.4639
118,0.1625,0.1514,0.0940,0.2720,0.3636,0.4017,0.4592
119,0.1511,0.1547,0.0963,0.2774,0.3683,0.4079,0.4623
120,0.1486,0.1525,0.0940,0.2789,0.3582,0.3963,0.4530
121,0.1617,0.1512,0.0909,0.2766,0.3621,0.4056,0.4545
122,0.1449,0.1511,0.0940,0.2696,0.3473,0.3885,0.4406
123,0.1376,0.1504,0.0940,0.2688,0.3528,0.3963,0.4476
124,0.1512,0.1512,0.0940,0.2665,0.3551,0.3932,0.4468
125,0.1438,0.1505,0.0925,0.2688,0.3543,0.3947,0.4538
126,0.1494,0.1521,0.0979,0.2681,0.3582,0.3939,0.4468
127,0.1513,0.1520,0.0948,0.2727,0.3489,0.3986,0.4483
128,0.1308,0.1527,0.0963,0.2696,0.3559,0.3963,0.4452
129,0.1522,0.1470,0.0886,0.2626,0.3489,0.3854,0.4359
130,0.1471,0.1530,0.0963,0.2696,0.3559,0.3978,0.4460
131,0.1426,0.1503,0.0940,0.2688,0.3535,0.3978,0.4483
132,0.1441,0.1483,0.0909,0.2665,0.3504,0.3947,0.4499
133,0.1263,0.1515,0.0956,0.2650,0.3427,0.3869,0.4382
134,0.1349,0.1496,0.0925,0.2657,0.3427,0.3877,0.4421
135,0.1353,0.1530,0.0956,0.2681,0.3566,0.3939,0.4514
136,0.1538,0.1514,0.0940,0.2681,0.3450,0.3854,0.4398
137,0.1457,0.1526,0.0963,0.2650,0.3481,0.3908,0.4429
138,0.1264,0.1520,0.0948,0.2704,0.3497,0.3823,0.4343
139,0.1520,0.1524,0.0948,0.2650,0.3489,0.3893,0.4406
140,0.1254,0.1528,0.0971,0.2704,0.3465,0.3846,0.4406
141,0.1390,0.1514,0.0963,0.2580,0.3388,0.3784,0.4312
142,0.1283,0.1516,0.0948,0.2642,0.3403,0.3869,0.4375
143,0.1387,0.1543,0.0987,0.2650,0.3489,0.3877,0.4390
144,0.1309,0.1492,0.0940,0.2650,0.3419,0.3792,0.4305
145,0.1396,0.1463,0.0901,0.2564,0.3380,0.3784,0.4320
146,0.1437,0.1502,0.0940,0.2673,0.3372,0.3831,0.4328
147,0.1299,0.1512,0.0948,0.2673,0.3372,0.3831,0.4343
148,0.1335,0.1490,0.0932,0.2665,0.3411,0.3831,0.4281
149,0.1409,0.1498,0.0917,0.2681,0.3427,0.3823,0.4336
150,0.1484,0.1515,0.0948,0.2704,0.3465,0.3838,0.4336
151,0.1249,0.1525,0.0956,0.2634,0.3395,0.3784,0.4289
152,0.1187,0.1526,0.0971,0.2657,0.3411,0.3776,0.4289
153,0.1216,0.1493,0.0932,0.2634,0.3364,0.3730,0.4258
154,0.1371,0.1542,0.0987,0.2688,0.3380,0.3800,0.4312
155,0.1203,0.1506,0.0940,0.2634,0.3411,0.3792,0.4343
156,0.1318,0.1524,0.0963,0.2657,0.3411,0.3784,0.4266
157,0.1292,0.1476,0.0925,0.2650,0.3357,0.3753,0.4235
158,0.1575,0.1474,0.0925,0.2626,0.3380,0.3831,0.4281
159,0.1219,0.1504,0.0963,0.2603,0.3403,0.3784,0.4343
160,0.1219,0.1512,0.0956,0.2634,0.3411,0.3753,0.4328
161,0.1254,0.1454,0.0886,0.2626,0.3357,0.3753,0.4281
162,0.1279,0.1500,0.0971,0.2611,0.3395,0.3815,0.4312
163,0.1241,0.1502,0.0956,0.2681,0.3388,0.3761,0.4274
164,0.1330,0.1496,0.0956,0.2634,0.3372,0.3745,0.4289
165,0.1186,0.1481,0.0925,0.2650,0.3403,0.3753,0.4320
166,0.1267,0.1471,0.0909,0.2626,0.3326,0.3776,0.4258
167,0.1298,0.1489,0.0956,0.2580,0.3395,0.3768,0.4281
168,0.1360,0.1471,0.0932,0.2611,0.3310,0.3691,0.4219
169,0.1221,0.1448,0.0901,0.2525,0.3349,0.3776,0.4258
170,0.1211,0.1501,0.0956,0.2657,0.3434,0.3823,0.4367
171,0.1252,0.1474,0.0909,0.2618,0.3411,0.3776,0.4274
172,0.1210,0.1467,0.0917,0.2580,0.3318,0.3706,0.4219
173,0.1337,0.1461,0.0894,0.2657,0.3326,0.3761,0.4274
174,0.1306,0.1476,0.0948,0.2665,0.3287,0.3714,0.4312
175,0.1277,0.1487,0.0963,0.2587,0.3333,0.3745,0.4266
176,0.1172,0.1439,0.0886,0.2556,0.3287,0.3667,0.4172
177,0.1223,0.1460,0.0925,0.2626,0.3310,0.3714,0.4204
178,0.1248,0.1452,0.0901,0.2587,0.3294,0.3706,0.4149
179,0.1239,0.1488,0.0948,0.2603,0.3341,0.3753,0.4250
180,0.1136,0.1464,0.0909,0.2595,0.3341,0.3730,0.4188
181,0.1292,0.1464,0.0925,0.2642,0.3341,0.3768,0.4227
182,0.1274,0.1453,0.0925,0.2525,0.3256,0.3722,0.4141
183,0.1225,0.1472,0.0956,0.2564,0.3271,0.3699,0.4165
184,0.1102,0.1488,0.0956,0.2650,0.3333,0.3768,0.4242
185,0.1156,0.1497,0.0971,0.2618,0.3341,0.3737,0.4250
186,0.1170,0.1478,0.0940,0.2626,0.3349,0.3776,0.4219
187,0.1134,0.1440,0.0894,0.2580,0.3287,0.3745,0.4227
188,0.1157,0.1418,0.0886,0.2541,0.3256,0.3652,0.4095
189,0.1136,0.1452,0.0925,0.2603,0.3279,0.3667,0.4180
190,0.1083,0.1445,0.0909,0.2634,0.3294,0.3737,0.4250
191,0.1231,0.1453,0.0901,0.2595,0.3349,0.3699,0.4126
192,0.1156,0.1500,0.0979,0.2634,0.3357,0.3838,0.4242
193,0.1130,0.1460,0.0925,0.2564,0.3318,0.3667,0.4103
194,0.1196,0.1471,0.0956,0.2580,0.3240,0.3699,0.4157
195,0.1157,0.1485,0.0971,0.2587,0.3302,0.3699,0.4172
196,0.0976,0.1440,0.0909,0.2556,0.3271,0.3636,0.4157
197,0.1045,0.1460,0.0917,0.2626,0.3341,0.3753,0.4219
198,0.1101,0.1483,0.0956,0.2580,0.3240,0.3706,0.4149
199,0.1159,0.1461,0.0901,0.2626,0.3326,0.3667,0.4165
